kepid,tce_plnt_num,pred_score,pred_class,norm_kepid
002302010,01,0.000,0,100001645
002302548,01,1.000,1,100001645
002302624,01,0.000,0,100001645
002302758,01,0.000,0,100001645
002302997,01,0.957,1,100001645
002303102,01,0.000,0,100001645
002303365,01,0.000,0,100001645
002303903,01,0.800,1,100001645
002304168,01,0.000,0,100001645
002304235,01,0.000,0,100001645
002304320,01,0.998,1,100001645
002304566,01,0.000,0,100001645
002304604,01,0.000,0,100001645
002304655,01,0.000,0,100001645
002305255,01,0.000,0,100001645
002305372,01,0.000,0,100001645
002305543,01,0.000,0,100001645
002305866,01,0.966,1,100001645
002306463,01,0.000,0,100001645
002306740,01,0.000,0,100001645
002307199,01,0.752,1,100001645
002307206,01,0.000,0,100001645
002307249,01,0.000,0,100001645
002307415,01,0.983,1,100001645
002307533,01,0.000,0,100001645
002307624,01,0.000,0,100001645
002308411,01,0.014,0,100001645
002308761,01,0.000,0,100001645
002308957,01,0.000,0,100001645
002309286,01,0.000,0,100001645
002309404,01,0.000,0,100001645
002309568,01,0.000,0,100001645
002309579,01,0.000,0,100001645
002309585,01,0.000,0,100001645
002309587,01,0.003,0,100001645
002309595,01,0.000,0,100001645
002309719,01,0.000,0,100001645
002309910,01,0.000,0,100001645
002310284,01,0.000,0,100001645
002310586,01,0.000,0,100001645
002310993,01,0.997,1,100001645
002422539,01,0.000,0,100001645
002422820,01,1.000,1,100001645
002423938,01,0.000,0,100001645
002425057,01,0.000,0,100001645
002425185,01,0.000,0,100001645
002425375,01,0.000,0,100001645
002436378,01,0.006,0,100001645
002436421,01,0.000,0,100001645
002436450,01,0.000,0,100001645
002436635,01,0.000,0,100001645
002436954,01,0.000,0,100001645
002437060,01,0.001,0,100001645
002437112,01,0.000,0,100001645
002437149,01,0.000,0,100001645
002437209,01,0.000,0,100001645
002437452,01,0.000,0,100001645
002437488,01,0.000,0,100001645
002437505,01,0.000,0,100001645
002437783,01,0.000,0,100001645
002437804,01,0.000,0,100001645
002437897,01,0.000,0,100001645
002438061,01,0.000,0,100001645
002438062,01,0.000,0,100001645
002438070,01,0.000,0,100001645
002438114,01,0.000,0,100001645
002438151,01,0.000,0,100001645
002438249,01,0.000,0,100001645
002438264,01,1.000,1,100001645
002438406,01,0.000,0,100001645
002438490,01,0.009,0,100001645
002438502,01,0.046,0,100001645
002438513,01,1.000,1,100001645
002438517,01,0.000,0,100001645
002439144,01,0.000,0,100001645
002439211,01,0.000,0,100001645
002439243,01,1.000,1,100001645
002439469,01,0.000,0,100001645
002440757,01,0.000,0,100001645
002441151,01,0.000,0,100001645
002441161,01,0.000,0,100001645
002441495,01,1.000,1,100001645
002441728,01,0.000,0,100001645
002442084,01,0.000,0,100001645
002442118,01,0.000,0,100001645
002442359,01,0.000,0,100001645
002442448,01,0.997,1,100001645
002443393,01,0.884,1,100001645
002443753,01,0.000,0,100001645
002443827,01,0.000,0,100001645
002443969,01,0.000,0,100001645
002444412,01,1.000,1,100001645
002444769,01,0.000,0,100001645
002445129,01,0.000,0,100001645
002445134,01,0.001,0,100001645
002445154,01,0.000,0,100001645
002445298,01,0.000,0,100001645
002445665,01,0.000,0,100001645
002445975,01,0.000,0,100001645
002446113,01,0.073,0,100001645
002446134,01,0.273,0,100001645
002446436,01,0.000,0,100001645
002446623,01,0.000,0,100001645
002447697,01,0.000,0,100001645
002447832,01,0.000,0,100001645
002448416,01,0.000,0,100001645
002449053,01,0.000,0,100001645
002449074,01,0.000,0,100001645
002449090,01,0.000,0,100001645
002449245,01,0.997,1,100001645
002449407,01,0.000,0,100001645
002449431,01,0.936,1,100001645
002449639,01,0.000,0,100001645
002450716,01,0.065,0,100001645
002450944,01,0.000,0,100001645
002452185,01,0.000,0,100001645
002452440,01,0.000,0,100001645
002452450,01,0.000,0,100001645
002452977,01,0.000,0,100001645
002554867,01,0.000,0,100001645
002555349,01,0.000,0,100001645
002555396,01,0.000,0,100001645
002555680,01,0.000,0,100001645
002556127,01,0.000,0,100001645
002556639,01,0.000,0,100001645
002556650,01,1.000,1,100001645
002557335,01,0.000,0,100001645
002557350,01,0.960,1,100001645
002557430,01,0.000,0,100001645
002557816,01,1.000,1,100001645
002558163,01,0.961,1,100001645
002558273,01,0.000,0,100001645
002558363,01,0.000,0,100001645
002558370,01,0.000,0,100001645
002558488,01,0.000,0,100001645
002568519,01,0.000,0,100001645
002568971,01,0.000,0,100001645
002569488,01,0.000,0,100001645
002569494,01,0.000,0,100001645
002569516,01,0.000,0,100001645
002569639,01,0.000,0,100001645
002569995,01,0.000,0,100001645
002570281,01,0.000,0,100001645
002570432,01,0.061,0,100001645
002570505,01,0.000,0,100001645
002570659,01,0.000,0,100001645
002570767,01,0.000,0,100001645
002570773,01,0.000,0,100001645
002571238,01,1.000,1,100001645
002571417,01,0.000,0,100001645
002571868,01,0.000,0,100001645
002572029,01,1.000,1,100001645
002573056,01,0.000,0,100001645
002573108,01,0.000,0,100001645
002574201,01,0.000,0,100001645
002574338,01,0.997,1,100001645
002574543,01,0.000,0,100001645
002574960,01,0.000,0,100001645
002575161,01,0.000,0,100001645
002575952,01,0.000,0,100001645
002575964,01,0.000,0,100001645
002576107,01,0.000,0,100001645
002576197,01,0.000,0,100001645
002576224,01,0.000,0,100001645
002576692,01,0.000,0,100001645
002577353,01,0.872,1,100001645
002578017,01,0.000,0,100001645
002578077,01,0.000,0,100001645
002578404,01,0.000,0,100001645
002578811,01,0.000,0,100001645
002578869,01,0.062,0,100001645
002578891,01,0.000,0,100001645
002579043,01,1.000,1,100001645
002579147,01,0.000,0,100001645
002579590,01,0.000,0,100001645
002579814,01,0.000,0,100001645
002579906,01,0.000,0,100001645
002580613,01,0.000,0,100001645
002580632,01,0.000,0,100001645
002580872,01,0.000,0,100001645
002580882,01,0.000,0,100001645
002581191,01,0.000,0,100001645
002581316,01,0.860,1,100001645
002581452,01,0.000,0,100001645
002581457,01,0.000,0,100001645
002581554,01,0.995,1,100001645
002581674,01,0.000,0,100001645
002581811,01,0.000,0,100001645
002581964,01,0.000,0,100001645
002582539,01,0.000,0,100001645
002582575,01,0.000,0,100001645
002582800,01,0.000,0,100001645
002583153,01,0.000,0,100001645
002583234,01,0.000,0,100001645
002583748,01,0.000,0,100001645
002583777,01,0.000,0,100001645
002584115,01,0.000,0,100001645
002584163,01,0.885,1,100001645
002584879,01,0.000,0,100001645
002584908,01,0.000,0,100001645
002585092,01,0.000,0,100001645
002585652,01,0.000,0,100001645
002692377,01,1.000,1,100001645
002692704,01,0.000,0,100001645
002692708,01,0.000,0,100001645
002693092,01,0.000,0,100001645
002693097,01,0.000,0,100001645
002693162,01,0.000,0,100001645
002693450,01,0.000,0,100001645
002693736,01,1.000,1,100001645
002694337,01,0.000,0,100001645
002694632,01,0.000,0,100001645
002694640,01,0.000,0,100001645
002694746,01,0.000,0,100001645
002695030,01,0.000,0,100001645
002695110,01,0.000,0,100001645
002695733,01,0.000,0,100001645
002696205,01,0.987,1,100001645
002696217,01,0.000,0,100001645
002696703,01,0.000,0,100001645
002696938,01,0.000,0,100001645
002697199,01,0.000,0,100001645
002697935,01,0.000,0,100001645
002698074,01,0.000,0,100001645
002707097,01,0.000,0,100001645
002707479,01,0.000,0,100001645
002707916,01,0.000,0,100001645
002707985,01,0.000,0,100001645
002708156,01,0.000,0,100001645
002708172,01,0.000,0,100001645
002708176,01,0.000,0,100001645
002708203,01,0.000,0,100001645
002708221,01,0.000,0,100001645
002708270,01,0.000,0,100001645
002708278,01,0.000,0,100001645
002708286,01,0.000,0,100001645
002708343,01,0.000,0,100001645
002708420,01,0.000,0,100001645
002708445,01,0.000,0,100001645
002708499,01,0.000,0,100001645
002708614,01,0.000,0,100001645
002708787,01,0.000,0,100001645
002708885,01,0.001,0,100001645
002710323,01,0.000,0,100001645
002710406,01,0.000,0,100001645
002710623,01,0.000,0,100001645
002710685,01,0.000,0,100001645
002711114,01,0.000,0,100001645
002711123,01,0.000,0,100001645
002711131,01,0.000,0,100001645
002711597,01,0.000,0,100001645
002711606,01,0.000,0,100001645
002712016,01,0.000,0,100001645
002712821,01,0.000,0,100001645
002712825,01,0.316,0,100001645
002713049,01,1.000,1,100001645
002713086,01,0.000,0,100001645
002714707,01,0.000,0,100001645
002714803,01,0.000,0,100001645
002714807,01,0.000,0,100001645
002714831,01,0.000,0,100001645
002714887,01,0.000,0,100001645
002714932,01,0.000,0,100001645
002714947,01,0.000,0,100001645
002714954,01,0.000,0,100001645
002714955,01,0.000,0,100001645
002715053,01,0.000,0,100001645
002715070,01,0.000,0,100001645
002715108,01,0.000,0,100001645
002715119,01,0.000,0,100001645
002715135,01,1.000,1,100001645
002715194,01,0.000,0,100001645
002715228,01,0.000,0,100001645
002715251,01,0.000,0,100001645
002715282,01,0.000,0,100001645
002715398,01,0.000,0,100001645
002715487,01,0.000,0,100001645
002715695,01,1.000,1,100001645
002716289,01,0.000,0,100001645
002716801,01,0.959,1,100001645
002716853,01,1.000,1,100001645
002716857,01,0.000,0,100001645
002717094,01,0.000,0,100001645
002717158,01,1.000,1,100001645
002717423,01,0.000,0,100001645
002717483,01,0.000,0,100001645
002718321,01,0.000,0,100001645
002718630,01,0.000,0,100001645
002718663,01,0.000,0,100001645
002718672,01,0.000,0,100001645
002718778,01,0.999,1,100001645
002718944,01,0.000,0,100001645
002719125,01,0.000,0,100001645
002719755,01,0.000,0,100001645
002719873,01,0.000,0,100001645
002719928,01,0.000,0,100001645
002720096,01,0.000,0,100001645
002720354,01,0.007,0,100001645
002720514,01,0.000,0,100001645
002720582,01,0.000,0,100001645
002721030,01,0.994,1,100001645
002721835,01,0.000,0,100001645
002721918,01,0.000,0,100001645
002722074,01,0.000,0,100001645
002830919,01,0.000,0,100001645
002831055,01,0.995,1,100001645
002831091,01,0.000,0,100001645
002831101,01,0.000,0,100001645
002831251,01,0.003,0,100001645
002832589,01,1.000,1,100001645
002832720,01,0.000,0,100001645
002832753,01,0.000,0,100001645
002833327,01,0.000,0,100001645
002833554,01,0.000,0,100001645
002833709,01,0.000,0,100001645
002834463,01,0.794,1,100001645
002834637,01,0.000,0,100001645
002834805,01,0.760,1,100001645
002837007,01,0.000,0,100001645
002837111,01,0.995,1,100001645
002837174,01,0.000,0,100001645
002847816,01,0.000,0,100001645
002849140,01,0.893,1,100001645
002849511,01,0.000,0,100001645
002849805,01,1.000,1,100001645
002850321,01,0.000,0,100001645
002851100,01,0.000,0,100001645
